196,242,True
186,302,True
22,377,False
244,51,False
166,346,False
298,474,True
115,265,False
253,465,True
305,451,True
6,86,True
62,257,False
286,1014,True
200,222,True
210,40,True
224,29,True
303,785,True
122,387,True
194,274,False
291,1042,True
234,1184,False
119,392,True
167,486,True
299,144,True
291,118,False
308,1,True
95,546,False
38,95,True
102,768,False
63,277,True
160,234,True
50,246,True
301,98,True
225,193,True
290,88,True
97,194,True
157,274,True
181,1081,False
278,603,True
276,796,False
7,32,True
10,16,True
284,304,True
201,979,False
276,564,True
287,327,True
246,201,True
242,1137,True
249,241,True
99,4,True
178,332,True
251,100,True
81,432,False
260,322,True
25,181,True
59,196,True
72,679,False
87,384,True
290,143,True
42,423,True
292,515,True
115,20,True
20,288,False
201,219,True
13,526,True
246,919,True
138,26,True
167,232,False
60,427,True
57,304,True
223,274,True
189,512,True
243,15,True
92,1049,False
246,416,True
194,165,True
241,690,False
178,248,True
254,1444,True
293,5,True
127,229,True
225,237,True
299,229,True
225,480,True
276,54,True
291,144,True
222,366,True
267,518,True
42,403,True
11,111,True
95,625,True
8,338,True
162,25,True
87,1016,True
279,154,True
145,275,False
119,1153,True
62,498,True
62,382,True
28,209,True
135,23,True
32,294,True
90,382,True
286,208,True
293,685,True
216,144,True
166,328,True
250,496,True
271,132,True
160,174,True
265,118,True
198,498,True
42,96,True
168,151,True
110,307,True
58,144,True
90,648,True
271,346,True
62,21,True
279,832,True
237,514,True
94,789,True
128,485,True
298,317,True
44,195,True
264,200,True
194,385,False
72,195,True
222,750,True
250,264,True
41,265,True
224,245,True
82,135,True
262,1147,True
293,471,True
216,658,True
250,140,True
59,23,True
286,379,True
244,815,True
7,479,True
174,368,False
87,274,True
194,1211,False
82,1134,False
13,836,False
13,272,True
244,756,False
305,427,True
95,787,False
43,14,False
299,955,True
57,419,True
84,405,True
269,504,True
299,111,True
194,466,True
160,135,True
99,268,True
10,486,True
259,117,True
85,427,True
303,919,True
213,273,True
121,514,True
90,98,True
49,559,False
42,794,True
155,323,False
68,117,True
172,177,True
19,4,True
268,231,True
5,2,True
305,117,False
44,294,True
43,137,True
279,1336,False
80,466,True
254,164,True
298,281,True
279,1240,False
66,298,True
18,443,True
268,1035,False
99,79,True
13,98,True
26,258,True
7,455,True
222,755,True
200,673,True
119,328,True
213,172,True
276,322,True
94,1217,True
130,379,True
38,328,True
160,719,True
293,1267,True
26,930,False
130,216,True
92,1079,True
256,452,True
1,61,True
72,48,True
56,755,True
13,360,True
15,405,False
92,77,True
207,476,False
292,174,True
232,483,True
251,748,False
224,26,True
181,220,True
259,255,True
305,471,True
52,280,True
161,202,True
148,408,True
125,235,False
97,228,True
58,1098,True
83,234,True
90,347,True
272,178,True
194,181,True
125,478,True
110,688,False
299,14,True
151,10,True
269,127,True
6,14,True
54,106,True
303,69,True
16,944,False
301,790,True
