196,242,1
186,302,2
22,377,1
244,51,1
166,346,1
298,474,2
115,265,1
253,465,2
305,451,2
6,86,2
62,257,1
286,1014,2
200,222,2
210,40,2
224,29,2
303,785,2
122,387,2
194,274,1
291,1042,2
234,1184,1
119,392,2
167,486,2
299,144,2
291,118,1
308,1,2
95,546,1
38,95,2
102,768,1
63,277,2
160,234,2
50,246,2
301,98,2
225,193,2
290,88,2
97,194,2
157,274,2
181,1081,1
278,603,2
276,796,1
7,32,2
10,16,2
284,304,2
201,979,1
276,564,2
287,327,2
246,201,2
242,1137,2
249,241,2
99,4,2
178,332,2
251,100,2
81,432,1
260,322,2
25,181,2
59,196,2
72,679,1
87,384,2
290,143,2
42,423,2
292,515,2
115,20,2
20,288,1
201,219,2
13,526,2
246,919,2
138,26,2
167,232,1
60,427,2
57,304,2
223,274,2
189,512,2
243,15,2
92,1049,1
246,416,2
194,165,2
241,690,1
178,248,2
254,1444,2
293,5,2
127,229,2
225,237,2
299,229,2
225,480,2
276,54,2
291,144,2
222,366,2
267,518,2
42,403,2
11,111,2
95,625,2
8,338,2
162,25,2
87,1016,2
279,154,2
145,275,1
119,1153,2
62,498,2
62,382,2
28,209,2
135,23,2
32,294,2
90,382,2
286,208,2
293,685,2
216,144,2
166,328,2
250,496,2
271,132,2
160,174,2
265,118,2
198,498,2
42,96,2
168,151,2
110,307,2
58,144,2
90,648,2
271,346,2
62,21,2
279,832,2
237,514,2
94,789,2
128,485,2
298,317,2
44,195,2
264,200,2
194,385,1
72,195,2
222,750,2
250,264,2
41,265,2
224,245,2
82,135,2
262,1147,2
293,471,2
216,658,2
250,140,2
59,23,2
286,379,2
244,815,2
7,479,2
174,368,1
87,274,2
194,1211,1
82,1134,1
13,836,1
13,272,2
244,756,1
305,427,2
95,787,1
43,14,1
299,955,2
57,419,2
84,405,2
269,504,2
299,111,2
194,466,2
160,135,2
99,268,2
10,486,2
259,117,2
85,427,2
303,919,2
213,273,2
121,514,2
90,98,2
49,559,1
